timestamp,url,verdict,score,triggered
2026-06-12 19:02:00.556745,http://login-instagram-secure-update.com,PHISHING,2,"['No HTTPS', 'Suspicious Keywords']"
2026-06-12 19:07:53.746573,http://login-instagram-secure-update.com,PHISHING,2,"['No HTTPS', 'Suspicious Keywords']"
2026-06-12 19:19:39.356233,https://google.com,LEGITIMATE,0,[]
2026-06-13 15:38:50.689582,SDGSFB,LEGITIMATE,1,['No HTTPS']
2026-06-14 08:51:33.549677,http://instagarn.com/login,PHISHING,2,"['No HTTPS', 'Suspicious Keywords']"
2026-06-14 09:00:12.588986,http://login-instagram-secure-update.com,PHISHING,2,"['No HTTPS', 'Suspicious Keywords']"
2026-06-14 09:05:17.065853,http://login-instagram-secure-update.com,PHISHING,2,"No HTTPS, Suspicious Keywords"
2026-06-20 16:30:02.079372,http://login-instagram-secure-update.com,PHISHING,2,"No HTTPS, Suspicious Keywords"
2026-06-20 16:31:42.943239,http://login-instagram-secure-update.com,PHISHING,2,"No HTTPS, Suspicious Keywords"
2026-06-20 16:33:04.527462,SDGSFB,LEGITIMATE,1,No HTTPS
2026-06-20 16:37:19.151064,http://google.verify-login.security-account.com,PHISHING,2,"No HTTPS, Suspicious Keywords"
2026-06-21 14:38:18.715681,http://login-instagram-secure-update.com,PHISHING,2,"No HTTPS, Suspicious Keywords"
2026-06-21 16:28:23.016202,SDGSFB,LEGITIMATE,1,No HTTPS
2026-06-21 16:28:41.558574,http://login-instagram-secure-update.com,PHISHING,2,"No HTTPS, Suspicious Keywords"
2026-06-21 16:55:17.320913,http://google.verify-login.security-account.com,PHISHING,2,"No HTTPS, Suspicious Keywords"
2026-06-23 15:43:33.382869,http://login-instagram-secure-update.com,PHISHING,2,"No HTTPS, Suspicious Keywords"
2026-06-24 07:45:01.316970,http://login-instagram-secure-update.com,PHISHING,2,"No HTTPS, Suspicious Keywords"
2026-06-24 07:45:08.556634,http://instagarn.com/login,PHISHING,2,"No HTTPS, Suspicious Keywords"
2026-06-24 07:45:23.701249,SDGSFB,LEGITIMATE,1,No HTTPS
2026-06-24 10:32:15.994425,SDGSFB,LEGITIMATE,1,No HTTPS
2026-06-24 10:32:43.042317,http://login-instagram-secure-update.com,PHISHING,2,"No HTTPS, Suspicious Keywords"
